primary_row,account_code,primary_description,primary_month_sample_F,primary_month_sample_Q,cluster_id,source_status,candidate_source_file,candidate_sheet,candidate_row,candidate_cell_or_column,evidence_summary_nontech,why_not_implemented,manual_check_instruction,implementable_now,needed_action
46,5005016372,Sprayway 955 Anti Static,,,C_OTHER,PARTIAL_SOURCE_FOUND,raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,部門別サマリー(VND),28,row-level scan,fuzzy token: MD1課 | 1412000050.0 | 5005246282.0 | - | - | - | 2419218.0 | 4043677.0 | - | - | 295571.0 | 6758466.0,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
48,5005016371,,,,C_OTHER,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
49,5005016371,"TH conect, conecR半田ブリッジ対応実験",,,C_OTHER,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
50,5005016371,"Battery 9V(13,000)",=13000*12,,C_OTHER,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Hạng mục cần cải tiến,,row-level scan,"fuzzy token: VD: phòng code 1412000006 = ROUND((11*3.19 + 12*11.51+1*153.91+2*2114.25+12*2.25)*26273,0)=120,399,175 (chi phí tổng ở sheet đầu tiên là 120,399,176)",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
51,5005016371,"Pin Energizer AA(26,500/pcs)",=26500*12,,C_OTHER,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,勘定科目,,row-level scan,"fuzzy token: 5001016131 | 材料仕入割戻高 | Chi phí nguyên liệu, vật liệu trực tiếp | 材料費 | Chi phí nguyên vật liệu | 5001016131 | 2016年4月から追加する。",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
52,5005016371,Main pictor TV2YV01010 DL治具開発用＋Main pictor TV2YW01010 DL治具開発用,,,C_OTHER,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B37) | MFG)MACHINERY AND EQUIPMENT | 140000201 | MAY DIEN MUC HANG PICTOR | | 2020-08-27 00:00:00 | 007 | 1412000034 | T Manufacturing Sect |",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
53,5005016371,Giá đỡ bút Marking (2P4WKA70),,,C_OTHER,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Hạng mục cần cải tiến,,row-level scan,"fuzzy token: Công thức: = ROUND(công thức của các chi phí + với nhau** tỷ giá $ (ô B2 trong file MP),0)",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
54,5005016371,冷却スプレー Nabakem SF-1013,=495000*5,,C_OTHER,PARTIAL_SOURCE_FOUND,raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,部門別サマリー (USD),4,row-level scan,fuzzy token: 機器製造2課 | 1412000005.0 | 5005246282.0 | 7251.12 | - | - | 184.16 | - | 2701.799999999999 | - | - | 10137.079999999998,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
55,5005016373,Panel LCD 3V2Y301040,,,C_OTHER,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B123) | MFG)MOLD | 160005592-2 | MOUNT PANEL (K30C0G0501001MP+502+MODIFY) | 30C0G05010 | 2024-01-31 00:00:00 | 002 | 1412000022 | Purch Managem",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
56,5005026371,,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
57,5005026371,Vendor用Micro SD(8B) 単価:VND,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Chi phí sinh nhật,,row-level scan,"fuzzy token: Công thức = (2 người(trong file ở đầu) + 1 người mới )* 152,000VND",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
58,5005026371,"湿度計 単価:$28, LCRmeter Probe(SMDA-22)",,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
59,5005026371,ノートPCのRAM 16gb,=6*2150000,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
60,5005026371,Master用DVD $22(20pack),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
61,5005026371,USB 10本(単価$7.5),,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B265) | MFG)MOLD | 160005953-1 | HOLDER HARNESS USB (K30C0D02F1001MP+501+MODIFY) | 30C0D02F10 | 2024-01-31 00:00:00 | 002 | 1412000022 | Purch",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
62,5005026371,ROMライター実装ベンダ支給用(MINATO),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
63,5005026371,ROMライター実装ベンダ支給用(FSG),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
64,5005026371,"Test Board 10枚((7x9cm)単価24,000VND／(9x15cm)単価37,000VND)",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B641) | MFG)TOOLS FURNITURE AND FIXTURES | 170001747 | Instantaneous power failure test NF IEC61000-4-11 | | 2022-01-12 00:00:00 | 005 | 14120",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
65,5005026371,Arduino Nano V3.0 Atmega328P - USB CH340,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 37 | 140000053 | 0 | 140000053 | Nano Scan Ns-SI/3.5/1.8 | 1412000006 | Factory (A/1F) | 1412000069 | Ind Engineer 2 Sec | 1412000004 | Machi Manufact 1 Se | 20,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
66,5005026371,"Resistor 5本(単価30,000)",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Hạng mục cần cải tiến,,row-level scan,"fuzzy token: VD: phòng code 1412000006 = ROUND((11*3.19 + 12*11.51+1*153.91+2*2114.25+12*2.25)*26273,0)=120,399,175 (chi phí tổng ở sheet đầu tiên là 120,399,176)",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
67,5005026371,画像検査装置開発用PC,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
68,5005026371,画像検査装置用 OFFICE,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 7457 | 170000848 | 0 | 170000848 | Office door key card set | 1412000004 | Administration Building 3F | 1412000026 | Faci Maintenance Sec | 1412000026 | Faci Ma,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
69,5005026371,スタンレー 240V/40W グルーガン/Sung ban keo 240V/40W Stanley,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B675) | MFG)TOOLS FURNITURE AND FIXTURES | 170001928 | Iris 2020 TASKalfa2554ci220/240V50/60HZ-MAY KT DP1 | | 2023-01-06 00:00:00 | 003 | 1412",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
70,5005026371,WebCam C920/WebCam C615,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Sheet1,,row-level scan,"fuzzy token: =0+SUBTOTAL(3,$D$5:D920) | 160000817 | 0 | =IF(C920=""0"",B920,_xlfn.CONCAT(B920,""-"",C920)) | STOPPER CONTAINER | 1412000008 | Lend to Vendor | 1412000022 | Purch",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
71,5005026371,Cable usb to lan 2.0 20254 Ugreen,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Sheet1,,row-level scan,fuzzy token: Cải tiến nhập tự động dữ liệu chung từ các file được cung cấp sẵn vào file Master Plan,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
72,5005026371,"2NM PANEL KEY FT改造費\16,000 ⇒ 科目変更",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B123) | MFG)MOLD | 160005592-2 | MOUNT PANEL (K30C0G0501001MP+502+MODIFY) | 30C0G05010 | 2024-01-31 00:00:00 | 002 | 1412000022 | Purch Managem",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
73,5005026371,テスター購入費,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
74,5005026371,"実験場の棚 単価6,800,000ＶＮＤｘ2",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,勘定科目,,row-level scan,fuzzy token: 8001017111 | 固定資産売却益 | Thu nhập khác | 特別利益 | Lợi nhuận đặc biệt | 8001017111 | 8001017111 | 8001017111,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
75,5005026371,GARNET選別用の温度プローブ Temperature Sensor SE10605,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B41) | MFG)MACHINERY AND EQUIPMENT | 140000207 | Temperature/Humidity Chamber PL-4J.NO.2 | | 2021-02-22 00:00:00 | 005 | 1412000018 | Q Assura",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
76,5005026371,GARNET選別用ハーネス(3V2NM46020),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
77,5005026371,GARNET選別用ハーネス(3V2NM46190),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
78,5005026371,GARNET選別用ハーネス,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
79,5005026371,GARET選別用ドライヤ MAY KHO(GBH 630DCE),,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Sheet1,,row-level scan,"fuzzy token: ② Filter ""code tài khoản chịu chi phí"", ""tên tài khoản chịu chi phí"", ""ghi chú"" trong file MP đối tượng",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
80,5005026371,BRIGE UNIT DBU – 120A購入,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\event_drivers_manual.csv,csv,1,row-level scan,"fuzzy token: ﻿cc_code,period,event_name,count,unit_price,amount_vnd,account_code,form_row,description",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
81,5005026371,,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
82,5005026371,表面抵抗測定器：1台,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
83,5005026371,認定バッチ(1.2USD/pcs),,,C1_fixed_assets_detail_5005026371,TEMPLATE_ONLY,docs\MP2027\old\FORM_old.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"fuzzy token: 5005246281 | =IFERROR(IF(VLOOKUP($B79,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B79,勘定科目!$A:$E,2,0)),"""") | =IF(C79="""","""",VLOOKUP($B79,勘定科目!$",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
84,5005026371,Panel傾き確認治具,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
85,5005026371,治具修理用パーツ費:GPIF基板,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
86,5005026371,"Libra Container FT修理部材（\4,800)10月追加",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B10) | MFG)MACHINERY AND EQUIPMENT | 140000125 | LIBRA LINE No.2 | | 2016-09-27 00:00:00 | 010 | 1412000084 | Ind Engineer 3 Sec | 1412000004",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
87,5005026371,"Mebius E KeyR FT修理部材（\9,500)10月追加",,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B5) | MFG)MACHINERY AND EQUIPMENT | 140000070-1 | MAY HAN LID MEBIUS BK (BLACK) | | 2022-11-07 00:00:00 | 005 | 1412000034 | T Manufacturing S",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
88,5005026371,,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
89,5005026371,画像検査装置備品(カメラ安定化部材),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
90,5005026371,画像検査装置備品(usb HUB 4port),,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B265) | MFG)MOLD | 160005953-1 | HOLDER HARNESS USB (K30C0D02F1001MP+501+MODIFY) | 30C0D02F10 | 2024-01-31 00:00:00 | 002 | 1412000022 | Purch",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
91,5005026371,基板画像検査装置備品(2号機用),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
92,5005026371,PCのモニター＋マウス＋電源コード,,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
93,5005026371,master SSD作成メイン基板,,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Sheet1,,row-level scan,fuzzy token: Cải tiến nhập tự động dữ liệu chung từ các file được cung cấp sẵn vào file Master Plan,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
94,5005026371,master SSD作成用電源(5V-5A),,,C1_fixed_assets_detail_5005026371,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Sheet1,,row-level scan,fuzzy token: Cải tiến nhập tự động dữ liệu chung từ các file được cung cấp sẵn vào file Master Plan,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
95,5005026371,棚治具でほこり防止PVC(1.4x30x0.5m),,,C1_fixed_assets_detail_5005026371,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
