primary_row,account_code,primary_description,old_source_status,new_classification,generated_match_row,generated_match_item_id,generated_match_description,match_evidence,invariant_keys_used,confidence,action,nontech_reason
40,5006016244,Depreciation 工具治,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
45,5005016372,Marking pen,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
46,5005016372,Sprayway 955 Anti Static,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
48,5005016371,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
49,5005016371,"TH conect, conecR半田ブリッジ対応実験",SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
50,5005016371,"Battery 9V(13,000)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,month vector same 2/11,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
51,5005016371,"Pin Energizer AA(26,500/pcs)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,month vector same 2/11,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
52,5005016371,Main pictor TV2YV01010 DL治具開発用＋Main pictor TV2YW01010 DL治具開発用,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
53,5005016371,Giá đỡ bút Marking (2P4WKA70),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
54,5005016371,冷却スプレー Nabakem SF-1013,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,month vector same 4/11,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
55,5005016373,Panel LCD 3V2Y301040,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
56,5005026371,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
57,5005026371,Vendor用Micro SD(8B) 単価:VND,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
58,5005026371,"湿度計 単価:$28, LCRmeter Probe(SMDA-22)",SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
59,5005026371,ノートPCのRAM 16gb,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
60,5005026371,Master用DVD $22(20pack),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
61,5005026371,USB 10本(単価$7.5),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
62,5005026371,ROMライター実装ベンダ支給用(MINATO),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
63,5005026371,ROMライター実装ベンダ支給用(FSG),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
64,5005026371,"Test Board 10枚((7x9cm)単価24,000VND／(9x15cm)単価37,000VND)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
65,5005026371,Arduino Nano V3.0 Atmega328P - USB CH340,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
66,5005026371,"Resistor 5本(単価30,000)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
67,5005026371,画像検査装置開発用PC,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
68,5005026371,画像検査装置用 OFFICE,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
69,5005026371,スタンレー 240V/40W グルーガン/Sung ban keo 240V/40W Stanley,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
70,5005026371,WebCam C920/WebCam C615,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
71,5005026371,Cable usb to lan 2.0 20254 Ugreen,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
72,5005026371,"2NM PANEL KEY FT改造費\16,000 ⇒ 科目変更",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
73,5005026371,テスター購入費,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
74,5005026371,"実験場の棚 単価6,800,000ＶＮＤｘ2",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
75,5005026371,GARNET選別用の温度プローブ Temperature Sensor SE10605,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
76,5005026371,GARNET選別用ハーネス(3V2NM46020),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
77,5005026371,GARNET選別用ハーネス(3V2NM46190),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
78,5005026371,GARNET選別用ハーネス,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
79,5005026371,GARET選別用ドライヤ MAY KHO(GBH 630DCE),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
80,5005026371,BRIGE UNIT DBU – 120A購入,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
81,5005026371,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
82,5005026371,表面抵抗測定器：1台,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
83,5005026371,認定バッチ(1.2USD/pcs),TEMPLATE_ONLY,TEMPLATE_ONLY_NOT_SOURCE,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",MEDIUM,Need real source before coding,Template/account master is not a monthly source.
84,5005026371,Panel傾き確認治具,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
85,5005026371,治具修理用パーツ費:GPIF基板,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
86,5005026371,"Libra Container FT修理部材（\4,800)10月追加",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
87,5005026371,"Mebius E KeyR FT修理部材（\9,500)10月追加",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
88,5005026371,,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
89,5005026371,画像検査装置備品(カメラ安定化部材),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
90,5005026371,画像検査装置備品(usb HUB 4port),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
91,5005026371,基板画像検査装置備品(2号機用),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
92,5005026371,PCのモニター＋マウス＋電源コード,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
93,5005026371,master SSD作成メイン基板,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
94,5005026371,master SSD作成用電源(5V-5A),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
95,5005026371,棚治具でほこり防止PVC(1.4x30x0.5m),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
96,5005026371,"Battery 9V(13,000)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
97,5005026371,"Pin Energizer AA(26,500/pcs)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
98,5005026371,Master SSD購入品費,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
99,5005026371,Tablet Teclast X4,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
100,5005026371,Stick PC DX開発運用使用,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
101,5005026371,Stick PC DX開発運用使用,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
102,5005026371,Precision Scale/ Can dien tu co do chinh xac cao,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
103,5005026371,はんだ煙吸引機/May hut khoi han,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
104,5005026371,熱風機/May kho khi,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
105,5005026371,HP PC購入( EMSで治具リモート使用),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
106,5005026371,Soldering iron sleeve/ Ong bao ve mo han,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
107,5005026371,HP PCのOS購入( EMSで治具リモート使用),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
108,5005026371,Mạch chuyển USB UART TTL FT232RL/中継基板USB UART TTL FT232RL,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
109,5005026371,A3画像検査装置開発用cable USB 3.0,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
110,5005026371,A3画像検査装置開発用カメラHD(C930e),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
111,5005026371,A3画像検査装置開発用カメラHD(C925e),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
112,5005026371,A3画像検査装置開発用Ardruno Nano,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
113,5005026371,A3画像検査装置開発用USB Hub,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
114,5005026371,A3画像検査装置開発用USB cable A to B(50cm),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
115,5005026371,A3画像検査装置開発用Frame金属,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
116,5005026371,"VGA to HDMI 20 cmケーブル（150,000VND／pcs）Cuong＋Hung",SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
117,5005026371,"充電器Cable/ HDMI 2M Ugreen 10202 購入 (370,000/pc)",SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
118,5005026371,Name Tag(ナフ-10R),PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
119,5005026371,"DVDRW Asus (820,000/pc)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
120,5005026371,Wifi Router-FCTLogUp使用,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
121,5005026371,ICベース 980020-48-P2,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
122,5005026371,RPA用のサーバーとして使用されるPC/May tinh dung lam may chu RPA,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
123,5005026371,Tester Fluke 117購入,PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
124,5005026371,帯電測定器（DZ4）購入:1台,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
125,5005026371,OPTセンサー反射測定治具,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
126,5005026371,"ND Filter6%(780,000)；ND Filter3%(780,000)",PARTIAL_SOURCE_FOUND,AMBIGUOUS_NEEDS_HUMAN_MAPPING,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Human mapping needed,Candidate evidence is partial; invariant keys are insufficient.
127,5005026371,新人デスク(1set),SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
128,5005026371,新入社員のMOUSE,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
129,5005026371,新人：PCのモニター＋マウス＋電源コード,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
130,5005026371,新人ノートパソコン購入,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,same account,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
131,,スマホ,SOURCE_NOT_FOUND,REAL_MISSING_SOURCE_UNCONFIRMED,,,,,"account, business_group, month_vector, formula/value pattern, aliases; description tokens weak only",LOW,Need source mapping before coding,Need exact source file/sheet/row and Apr-Mar values before safe code.
